time,frame,qua_x,qua_y,qua_z,qua_w,vec_x,vec_y,vec_z
522.2962,1,0.1563737,-0.00500983,0.08468601,-0.984048,0.03634515,0.3069099,0.9510444
522.3248,2,0.1566552,-0.004711717,0.08480033,-0.9839949,0.03584143,0.3074966,0.9508739
522.3653,3,0.1566715,-0.004233465,0.08458657,-0.9840128,0.03483617,0.3076173,0.9508722
522.3933,4,0.1564749,-0.003995016,0.08480833,-0.984026,0.03440315,0.3072731,0.9509993
522.4346,5,0.1558569,-0.003986761,0.08512677,-0.9840966,0.0343819,0.3060777,0.9513855
522.4628,6,0.1550618,-0.004046559,0.08520308,-0.9842154,0.03438886,0.3045389,0.9518789
522.4905,7,0.1541611,-0.004211694,0.08525598,-0.9843516,0.03457789,0.3027793,0.9524332
522.532,8,0.152996,-0.004520997,0.08531597,-0.9845268,0.03500809,0.3004858,0.9531436
522.5602,9,0.1522722,-0.004523396,0.08535777,-0.9846354,0.03490302,0.2990929,0.9535854
522.6013,10,0.151334,-0.004346699,0.08552933,-0.9847659,0.03444796,0.2973137,0.9541582
522.629,11,0.1509783,-0.004252821,0.08570285,-0.9848059,0.03425495,0.2966397,0.9543749
522.6569,12,0.1506878,-0.004201487,0.08621101,-0.9848062,0.0342572,0.2960722,0.954551
522.6989,13,0.1506038,-0.004156545,0.08668779,-0.9847774,0.03429757,0.2959018,0.9546024
522.7268,14,0.1504795,-0.004094824,0.08683929,-0.9847833,0.03420009,0.2956682,0.9546783
522.7684,15,0.1502943,-0.004178107,0.08722514,-0.9847771,0.03444789,0.2952839,0.9547883
522.7965,16,0.1500653,-0.00426057,0.08740663,-0.9847956,0.03462499,0.2948226,0.9549245
522.8242,17,0.1498239,-0.004323453,0.08749767,-0.9848241,0.03473416,0.2943437,0.9550682
522.8656,18,0.1496053,-0.004528344,0.08739819,-0.9848652,0.03507009,0.2938907,0.9551955
522.8937,19,0.1495256,-0.004677653,0.08724104,-0.9848905,0.0353035,0.2937166,0.9552404
522.9355,20,0.1492489,-0.00485608,0.08690677,-0.9849612,0.03550757,0.2931646,0.9554024
522.9636,21,0.149198,-0.004935354,0.08677268,-0.9849803,0.03561506,0.2930576,0.9554312
522.9913,22,0.149186,-0.004901752,0.08674352,-0.9849849,0.03553814,0.2930415,0.955439
523.0328,23,0.1492541,-0.004784241,0.08670542,-0.9849784,0.03530702,0.2931945,0.9554006
523.0597,24,0.1494681,-0.004719913,0.08664364,-0.9849517,0.0351987,0.2936199,0.955274
523.1015,25,0.1497959,-0.004483014,0.08638197,-0.984926,0.0347102,0.2943012,0.9550822
523.1297,26,0.1499646,-0.004271463,0.08637515,-0.9849019,0.03432038,0.294663,0.9549847
523.1577,27,0.149915,-0.003977463,0.08673491,-0.9848791,0.03384037,0.2946063,0.9550194
523.2002,28,0.1498071,-0.003519341,0.08662242,-0.9849071,0.03288575,0.2944824,0.9550909
523.2275,29,0.1493782,-0.00303705,0.08662099,-0.984974,0.03186142,0.2937412,0.9553539
523.2692,30,0.1486873,-0.001836851,0.08670693,-0.9850739,0.02940331,0.2926175,0.9557774
523.2975,31,0.1483284,-0.0009026378,0.08659507,-0.9851393,0.02746747,0.292092,0.9559957
523.3256,32,0.1479815,0.0001009852,0.08651009,-0.9851992,0.02540481,0.2916,0.9562029
523.3669,33,0.1475891,0.001480281,0.0864386,-0.9852632,0.02259785,0.2910841,0.9564306
523.3951,34,0.1474774,0.002156853,0.08650126,-0.9852732,0.02126379,0.2909843,0.9564915
523.423,35,0.147414,0.002532035,0.08673096,-0.9852617,0.02058129,0.290922,0.9565254
523.4644,36,0.1471968,0.002545565,0.08683166,-0.9852852,0.02054646,0.2905036,0.9566533
523.4921,37,0.1469303,0.002107903,0.08689436,-0.9853204,0.0213809,0.2899131,0.9568141
523.5337,38,0.1464136,0.001349524,0.08713351,-0.9853776,0.02285547,0.2887805,0.9571225
523.5621,39,0.1462758,0.0008818656,0.08737272,-0.9853774,0.02382309,0.2884279,0.9572052
523.5896,40,0.1462078,0.000600785,0.08759704,-0.9853678,0.02443076,0.2882422,0.9572458
523.6312,41,0.1464183,0.0006117523,0.08776996,-0.9853212,0.02449671,0.2886454,0.9571226
523.6595,42,0.1467515,0.001047105,0.08778809,-0.9852696,0.02370271,0.2893634,0.9569258
523.701,43,0.1482322,0.003214255,0.08733077,-0.9850839,0.01955785,0.2926038,0.9560338
523.7288,44,0.1503433,0.007414818,0.08725696,-0.9847478,0.01163355,0.2973945,0.9546838
523.7568,45,0.1529762,0.01299681,0.08760853,-0.9842531,0.001219738,0.3034118,0.9528587
523.7988,46,0.1586471,0.02546632,0.08733934,-0.983135,-0.02236139,0.3163916,0.9483651
523.8265,47,0.1638757,0.03643889,0.08755779,-0.9819117,-0.04286237,0.3282039,0.9436339
523.8679,48,0.1722427,0.05576725,0.08821748,-0.9795102,-0.07885955,0.3472662,0.934445
523.8961,49,0.1783861,0.06962745,0.08863503,-0.9774836,-0.1044969,0.3610818,0.9266608
523.924,50,0.1840154,0.08397973,0.08852419,-0.9753201,-0.1312346,0.3738162,0.9181715
523.9653,51,0.1921036,0.1058073,0.08938545,-0.971551,-0.1712518,0.3921922,0.903802
523.9933,52,0.1967578,0.119475,0.09013797,-0.968962,-0.1960628,0.4028402,0.8940241
524.035,53,0.2025056,0.1376892,0.09064573,-0.9653065,-0.229112,0.4159219,0.8800663
524.0636,54,0.2061542,0.1486645,0.08954008,-0.9630067,-0.2494118,0.4236786,0.8707986
524.0908,55,0.2097092,0.1589242,0.08907504,-0.9606408,-0.2679785,0.4312227,0.8615303
524.1325,56,0.2149485,0.171279,0.0881773,-0.9574369,-0.2900705,0.4418052,0.8489213
524.1603,57,0.2181874,0.1781981,0.08803575,-0.9554526,-0.302103,0.4483111,0.8412794
524.202,58,0.2231554,0.1852639,0.08758233,-0.9529997,-0.314024,0.4577858,0.8317579
524.2303,59,0.2262822,0.1880293,0.08775946,-0.9517035,-0.3181796,0.4637098,0.8268827
524.2578,60,0.2288315,0.1892681,0.08833892,-0.9507944,-0.3194806,0.4685828,0.8236275
524.2997,61,0.2315228,0.1883739,0.08945566,-0.9502159,-0.3165696,0.4736955,0.8218249
524.3275,62,0.2329375,0.1873813,0.09044775,-0.9499725,-0.3138767,0.4764649,0.8212568
524.3691,63,0.2344873,0.1846712,0.09273265,-0.9499015,-0.3073497,0.4797298,0.8218244
524.4031,64,0.2350207,0.1830593,0.09388481,-0.9499686,-0.3036714,0.4808976,0.8225091
524.4371,65,0.2355752,0.1815024,0.09568479,-0.9499503,-0.2997547,0.4823034,0.8231224
524.4659,66,0.2357572,0.1810675,0.09672751,-0.9498826,-0.2983773,0.4829118,0.8232662
524.4938,67,0.2356298,0.1809647,0.09757725,-0.9498469,-0.2977933,0.4829405,0.8234608
524.5353,68,0.2359426,0.1817469,0.09819511,-0.9495561,-0.2988209,0.4837748,0.8225983
524.5635,69,0.2362383,0.1825875,0.09894472,-0.9492435,-0.2998909,0.4846274,0.8217066
524.5914,70,0.2362651,0.1832071,0.09989998,-0.9490174,-0.3005278,0.4850442,0.8212279
524.6332,71,0.2361358,0.1833407,0.1007397,-0.948935,-0.3003803,0.4850944,0.8212522
524.6622,72,0.2361702,0.183423,0.1011785,-0.9488639,-0.3002962,0.4853036,0.8211593
524.7021,73,0.2358827,0.1832238,0.1017947,-0.948908,-0.2997019,0.4849643,0.8215768
524.7301,74,0.2358428,0.1826627,0.1023228,-0.9489692,-0.2984185,0.4849963,0.8220249
524.7582,75,0.2359087,0.1823071,0.1028136,-0.9489682,-0.297498,0.485227,0.8222224
524.8004,76,0.2354732,0.1814474,0.1033068,-0.9491875,-0.2958034,0.4845059,0.8232584
524.8281,77,0.2353298,0.1805195,0.1037485,-0.9493518,-0.2939227,0.4842789,0.8240652
524.8699,78,0.2354382,0.1787121,0.1037378,-0.949668,-0.2905867,0.4842546,0.8252617
524.8983,79,0.2355495,0.1772255,0.103678,-0.9499255,-0.2878594,0.4842577,0.8262151
524.9258,80,0.2357143,0.1754607,0.1034209,-0.9502403,-0.284704,0.4842631,0.8273046
524.9677,81,0.2358168,0.1722538,0.1029529,-0.9508522,-0.2790197,0.483922,0.8294381
524.9954,82,0.2360514,0.1695593,0.1030139,-0.9512715,-0.2739608,0.4840319,0.8310587
525.0374,83,0.2362047,0.1650667,0.1028413,-0.952042,-0.2657177,0.483705,0.8339207
525.0649,84,0.2356895,0.1618476,0.1029363,-0.9527119,-0.2598663,0.4824084,0.8365116
525.093,85,0.2346321,0.1582448,0.103258,-0.9535429,-0.253331,0.4801437,0.8398128
525.1347,86,0.2328099,0.1526508,0.1035379,-0.9548703,-0.2433142,0.4762167,0.8449945
525.1633,87,0.2314576,0.1489517,0.1036161,-0.9557743,-0.2367629,0.4733101,0.8484815
525.2042,88,0.2290093,0.1433198,0.1039515,-0.9571877,-0.2267562,0.4682065,0.8540283
525.2322,89,0.2272685,0.1393356,0.1041067,-0.9581735,-0.2196949,0.4645369,0.8578692
525.2597,90,0.2256783,0.135399,0.1042019,-0.9591029,-0.212691,0.4611151,0.8614728
525.3017,91,0.2225933,0.1292225,0.1045907,-0.9606324,-0.2017083,0.4546917,0.8675075
525.3295,92,0.2199145,0.1244696,0.1046064,-0.9618745,-0.1934393,0.4491009,0.8722899
525.3713,93,0.2161302,0.1165579,0.1044675,-0.9637368,-0.1795051,0.4409384,0.8794039
525.3995,94,0.2130947,0.1104272,0.1043415,-0.9651474,-0.1686877,0.4343798,0.884793
525.4271,95,0.2098552,0.1019875,0.1039801,-0.9668235,-0.1535662,0.4269952,0.8911187
525.4686,96,0.2068437,0.08104426,0.09945148,-0.9699263,-0.1160721,0.4173663,0.901295
525.4968,97,0.203916,0.06386238,0.09761497,-0.9720141,-0.08433975,0.4088863,0.9086797
525.5389,98,0.198676,0.03717345,0.09491564,-0.9747497,-0.03475469,0.3943754,0.918292
525.5662,99,0.1954955,0.02028629,0.09311044,-0.9760638,-0.003196087,0.3854099,0.92274
525.5941,100,0.1919588,0.004465595,0.09163563,-0.9771054,0.02645382,0.3759464,0.9262637
525.6359,101,0.1867888,-0.01810147,0.08989386,-0.9781111,0.06899283,0.362146,0.9295646
525.6647,102,0.1833876,-0.03153414,0.08895558,-0.9784997,0.09433898,0.3532791,0.9307492
525.7051,103,0.1787824,-0.05118364,0.08791994,-0.978615,0.1316152,0.3409181,0.9308342
525.7333,104,0.176369,-0.06270237,0.08807079,-0.9783691,0.153758,0.3340635,0.9299247
525.7612,105,0.1738877,-0.07232907,0.08825672,-0.9781321,0.1721883,0.3274033,0.9290631
525.803,106,0.1696975,-0.08222795,0.09001338,-0.9779259,0.1913758,0.3170999,0.9288827
525.831,107,0.1665152,-0.08607052,0.09125136,-0.9780275,0.1987482,0.3100048,0.9297291
525.8722,108,0.1617618,-0.08877103,0.09195128,-0.9785182,0.2034766,0.3002486,0.9319056
525.9008,109,0.1587758,-0.08963431,0.09170501,-0.9789516,0.2046164,0.2944278,0.9335119
525.9279,110,0.1560289,-0.0901831,0.09098013,-0.9794104,0.2050436,0.289223,0.935044
525.9697,111,0.1526165,-0.09057425,0.08980822,-0.9800199,0.2049416,0.2828658,0.937009
525.998,112,0.1508223,-0.09064335,0.08916226,-0.9803502,0.2046198,0.2795534,0.9380729
526.039,113,0.1486127,-0.0906828,0.08811949,-0.9807782,0.2040708,0.2755304,0.9393818
526.0671,114,0.1471704,-0.09070063,0.08725297,-0.9810715,0.2036497,0.2729415,0.9402286
526.095,115,0.1458292,-0.09055488,0.08671753,-0.9813326,0.2030208,0.2705085,0.9410673
526.1367,116,0.1437686,-0.09023234,0.08599944,-0.9817296,0.2018956,0.266764,0.9423774
526.1648,117,0.1422802,-0.09004145,0.08553513,-0.9820045,0.2011821,0.2640361,0.9432978
526.1926,118,0.1407642,-0.08977172,0.08511031,-0.9822844,0.2003237,0.2612599,0.944253
526.2343,119,0.1383623,-0.0892977,0.08461904,-0.9827113,0.1989239,0.2568277,0.9457636
526.2625,120,0.1366462,-0.08886438,0.08431805,-0.9830166,0.1977538,0.2536653,0.9468619
526.3038,121,0.1344972,-0.08799116,0.08392571,-0.9834249,0.195641,0.2497663,0.9483361
526.3317,122,0.1334209,-0.08756334,0.08432682,-0.9835754,0.1947522,0.2476911,0.9490631
526.3601,123,0.1327925,-0.08798803,0.08637264,-0.983445,0.1960021,0.2459886,0.9492486
526.4014,124,0.1326595,-0.09008534,0.08821108,-0.9831099,0.2005317,0.2449447,0.9485722
526.4296,125,0.1319992,-0.09121147,0.08823124,-0.9830931,0.2026316,0.2434396,0.9485134
526.4715,126,0.1308322,-0.09308995,0.088305,-0.9830664,0.2061335,0.2407928,0.9484344
526.4996,127,0.1300792,-0.09408452,0.0886858,-0.9830373,0.2080495,0.2390575,0.948455
526.5272,128,0.1294306,-0.09469174,0.08920987,-0.9830172,0.2092602,0.2375701,0.9485624
526.5688,129,0.1287695,-0.09439196,0.08991539,-0.9830685,0.2087442,0.2362038,0.9490172
526.5973,130,0.1285387,-0.09377454,0.09062294,-0.9830929,0.2076753,0.2357347,0.9493683
526.6382,131,0.1283943,-0.09182365,0.09080106,-0.9832795,0.2038933,0.2358195,0.9501666
526.6662,132,0.1285596,-0.08963516,0.09116311,-0.9834263,0.1997389,0.236515,0.9508759
526.6942,133,0.1284679,-0.08746244,0.09181026,-0.9835737,0.1956409,0.2366555,0.9516926
526.7356,134,0.1281669,-0.08406331,0.09302858,-0.9837949,0.1892485,0.2365393,0.9530132
526.7636,135,0.1277661,-0.0819113,0.09371585,-0.9839633,0.1851428,0.2360816,0.9539327
526.8046,136,0.1273399,-0.07972681,0.09470062,-0.9841036,0.1810372,0.235531,0.9548564
526.8333,137,0.1269953,-0.07889962,0.09488748,-0.9841968,0.179406,0.2350036,0.9552941
526.8607,138,0.1265545,-0.07866742,0.0949311,-0.984268,0.1788876,0.2341912,0.9555908
526.9023,139,0.1257254,-0.07930602,0.09480391,-0.9843353,0.179966,0.232475,0.9558073
526.9305,140,0.1252685,-0.08014756,0.0946869,-0.9843367,0.1815069,0.2314348,0.9557683
526.9722,141,0.1246338,-0.08152406,0.09461232,-0.9843113,0.1840739,0.2299307,0.9556404
