time,frame,qua_x,qua_y,qua_z,qua_w,vec_x,vec_y,vec_z
522.3248,1,0.01684603,-0.05660159,0.0009551797,0.9982543,-0.1129734,-0.03374138,0.9930249
522.3522,2,-0.029426,0.05508693,0.001624161,0.9980466,0.1098631,0.05891598,0.9921991
522.3807,3,-0.02671598,0.09706363,0.0026064,0.9949161,0.1930011,0.05366628,0.9797298
522.4083,4,-0.03976415,0.08634745,0.003449174,0.9954653,0.1716375,0.07976332,0.9819258
522.4551,5,-0.03922062,0.08626933,0.003398852,0.9954938,0.1714945,0.07867419,0.9820387
522.4905,6,-0.02010723,0.07231925,0.001458255,0.9971778,0.1441717,0.04031188,0.9887313
522.5186,7,-0.003275072,-0.01990479,-6.520288e-05,0.9997966,-0.03980105,0.006551406,0.9991862
522.5515,8,-0.001851908,-0.02127003,-3.939913e-05,0.9997721,-0.04253022,0.003704648,0.9990883
522.5878,9,-0.0008212085,-0.02106012,-1.72986e-05,0.9997779,-0.04211086,0.001642781,0.9991116
522.6167,10,0.0001333668,-0.02118031,2.825384e-06,0.9997757,-0.04235113,-0.0002667934,0.9991028
522.6437,11,0.02029947,-0.004624553,9.389635e-05,0.9997833,-0.00924329,-0.04059102,0.9991331
522.6724,12,0.04623691,0.0576408,-0.002672448,0.9972625,0.1147189,-0.09252877,0.9890794
522.7154,13,0.05019482,0.06101859,-0.003072437,0.996869,0.1213466,-0.1004503,0.9875144
522.7548,14,0.05138036,0.06706924,-0.003458428,0.9964185,0.1333027,-0.1028566,0.9857236
522.7847,15,0.04590389,0.06760105,-0.003113578,0.9966511,0.1344635,-0.09192129,0.9866459
522.8242,16,0.04165203,0.06829047,-0.002853593,0.9967915,0.135905,-0.08342654,0.9872031
522.8524,17,0.04093888,0.06281325,-0.002578771,0.997182,0.1250613,-0.08197097,0.988757
522.8813,18,0.04178746,0.05646939,-0.002365564,0.9975266,0.1124617,-0.08363538,0.99013
522.9086,19,0.04163695,0.05661827,-0.002363262,0.9975245,0.1127594,-0.08333537,0.9901215
522.9515,20,0.01522719,0.05696898,-0.0008689899,0.9982595,0.1137132,-0.03050038,0.9930453
522.9913,21,0.01522362,0.05720117,-0.0008723389,0.9982462,0.1141751,-0.03049365,0.9929925
523.0248,22,0.01689423,0.05693068,-0.0009635006,0.9982347,0.1136278,-0.03383851,0.992947
523.0597,23,0.0185615,0.06171252,-0.001147864,0.9979208,0.1231258,-0.03718748,0.9916941
523.0878,24,0.01849297,0.06166976,-0.001142828,0.9979246,0.1230413,-0.03705013,0.9917097
523.1165,25,-0.02128868,0.003503262,7.459718e-05,0.9997672,0.007001717,0.04256797,0.999069
523.1451,26,-0.05463111,-0.09388708,-0.005159756,0.9940695,-0.1860968,0.1095831,0.9764013
523.1722,27,-0.0830816,-0.1177114,-0.009883256,0.989517,-0.2313126,0.166748,0.958483
523.2151,28,-0.09118504,-0.1198537,-0.01105564,0.9885334,-0.2349426,0.182929,0.9546407
523.2418,29,-0.0925708,-0.1198558,-0.01122533,0.9884024,-0.2348532,0.1856852,0.9541305
523.2846,30,-0.1011553,-0.1192159,-0.01221041,0.9876265,-0.2330113,0.2027187,0.9511103
523.3123,31,-0.09944779,-0.1207147,-0.01215531,0.9876186,-0.2360225,0.1993676,0.9510762
523.3394,32,-0.1002103,-0.1206424,-0.01224203,0.9875492,-0.235827,0.200879,0.9508066
523.3823,33,-0.1046709,-0.1164711,-0.01234437,0.987586,-0.2274662,0.2096185,0.950957
523.4089,34,-0.1036619,-0.1113067,-0.01167492,0.9882959,-0.2175875,0.2074963,0.95373
523.437,35,-0.09276267,-0.1099285,-0.01030497,0.9895477,-0.2156471,0.1858518,0.9586216
523.4796,36,0.005520445,-0.03118617,0.0001722479,0.9994984,-0.06233916,-0.01104609,0.9979939
523.506,37,0.06045835,0.04646562,-0.002817448,0.9970847,0.09231963,-0.120826,0.9883715
