time,frame,eyeClosed,qua_x,qua_y,qua_z,qua_w,vec_x,vec_y,vec_z,x,y
481.6068,1,-,0.05892145,-0.04866785,-0.01474436,-0.9969667,0.09530292,0.1189206,0.9883194,0.09613205,0.1192027
481.6347,2,-,0.0588245,-0.04813948,-0.01333893,-0.9970177,0.09442251,0.1185824,0.9884446,0.09523737,0.1188621
481.6765,3,-,0.0579161,-0.04897628,-0.01086844,-0.9970601,0.09640567,0.1165563,0.9884941,0.09722035,0.1168218
481.7043,4,-,0.05696422,-0.0502781,-0.009308264,-0.997066,0.09920068,0.1145302,0.9884544,0.1000245,0.114782
481.7472,5,-,0.05556846,-0.05221967,-0.007947557,-0.9970567,0.1032487,0.1116398,0.9883705,0.104086,0.1118731
481.7737,6,-,0.0544669,-0.05324186,-0.007128621,-0.9970696,0.1053951,0.1093737,0.9883973,0.1062309,0.1095929
481.8016,7,-,0.0531507,-0.05408016,-0.006671633,-0.9970987,0.1071373,0.1067146,0.9885007,0.1079622,0.1069182
481.843,8,-,0.05100416,-0.05454586,-0.006308524,-0.9971879,0.1081414,0.1024097,0.9888467,0.1089283,0.1025895
481.8715,9,-,0.0491566,-0.0541035,-0.006309738,-0.9973047,0.107295,0.09873096,0.9893129,0.1080318,0.09889206
481.9167,10,-,0.04665265,-0.05282316,-0.006430037,-0.9974928,0.1047815,0.09375068,0.9900665,0.1054403,0.09388855
481.9565,11,-,0.04488241,-0.05048,-0.006871378,-0.9976925,0.1001102,0.09025141,0.9908746,0.1006905,0.09037437
481.9845,12,-,0.04404389,-0.04855638,-0.00697509,-0.9978245,0.09628708,0.08857352,0.9914048,0.0968182,0.08868974
482.0251,13,-,0.04240537,-0.04537287,-0.007371737,-0.9980425,0.08994291,0.08531367,0.9922861,0.09039508,0.08541749
482.0538,14,-,0.04126284,-0.04298102,-0.007677225,-0.998194,0.08517322,0.08303659,0.9929,0.08557279,0.08313231
482.0801,15,-,0.04028808,-0.04038494,-0.00795015,-0.9983401,0.07999521,0.08108454,0.9934918,0.08034591,0.08117366
482.1076,16,-,0.03901968,-0.0376733,-0.008139657,-0.9984948,0.07459798,0.07853519,0.9941164,0.07489911,0.07861615
482.1352,17,-,0.03764796,-0.0348118,-0.008334029,-0.9986497,0.06890208,0.07577449,0.9947416,0.06915585,0.07584719
482.1771,18,-,0.03520076,-0.02975719,-0.009078782,-0.9988959,0.0588095,0.0708641,0.9957508,0.05899194,0.07092355
482.205,19,-,0.03445898,-0.02524945,-0.0097018,-0.99904,0.0497818,0.06934172,0.9963501,0.04992265,0.0693974
482.2477,20,-,0.03343397,-0.01951072,-0.01054686,-0.9991949,0.03828477,0.06722566,0.997003,0.038381,0.0672764
482.2745,21,-,0.03198721,-0.01622371,-0.01136268,-0.999292,0.03169753,0.06429783,0.9974272,0.03176861,0.06434221
482.3024,22,-,0.03016522,-0.0131828,-0.0122918,-0.9993825,0.02560775,0.06061726,0.9978325,0.02565774,0.06065445
482.3442,23,-,0.02712413,-0.009217247,-0.01366918,-0.9994962,0.01768368,0.05447292,0.9983587,0.0177109,0.05449989
482.3718,24,-,0.02511218,-0.006511279,-0.01452119,-0.999558,0.01228749,0.05039127,0.9986539,0.01230342,0.05041261
482.414,25,-,0.02282144,-0.002168201,-0.01616119,-0.9996065,0.003597052,0.045695,0.9989489,0.003600821,0.04571092
482.4417,26,-,0.02197169,0.0006165578,-0.01736069,-0.9996076,-0.001995519,0.04390473,0.9990337,-0.001997446,0.04391884
482.4693,27,-,0.02061531,0.003116005,-0.01863224,-0.9996091,-0.006997792,0.04109838,0.9991306,-0.007003766,0.04110995
482.5111,28,-,0.01908627,0.006113716,-0.02061328,-0.9995867,-0.01300924,0.03790471,0.9991966,-0.01301896,0.0379138
482.5389,29,-,0.01811863,0.007520073,-0.0219153,-0.9995674,-0.01582779,0.03589197,0.9992303,-0.01583866,0.03589968
482.5668,30,-,0.01695683,0.00878679,-0.0231442,-0.9995497,-0.01835057,0.03349167,0.9992705,-0.0183619,0.03349793
482.6085,31,-,0.01524727,0.01036335,-0.02484752,-0.9995213,-0.02147449,0.02996493,0.9993203,-0.02148579,0.02996941
482.6365,32,-,0.01416263,0.01113244,-0.02594939,-0.999501,-0.0229888,0.02773337,0.999351,-0.02299967,0.02773693
482.6788,33,-,0.01217104,0.01213554,-0.02773499,-0.9994676,-0.02493327,0.02365597,0.9994092,-0.02494284,0.02365818
482.7067,34,-,0.01120749,0.0130338,-0.02897915,-0.9994323,-0.02670237,0.02164683,0.999409,-0.0267118,0.02164852
482.7341,35,-,0.01031553,0.0141523,-0.03000839,-0.9993963,-0.02890661,0.01976922,0.9993866,-0.02891629,0.01977051
482.7758,36,-,0.009117007,0.0170036,-0.03222167,-0.9992945,-0.03457075,0.01712538,0.9992555,-0.03458271,0.01712622
482.8037,37,-,0.008636657,0.02132693,-0.03313544,-0.999186,-0.0431915,0.0158459,0.9989411,-0.04321037,0.01584656
482.8459,38,-,0.008313546,0.02903731,-0.03440584,-0.9989514,-0.0585858,0.01461155,0.9981754,-0.05862563,0.01461207
482.8734,39,-,0.008442424,0.03598931,-0.03570153,-0.9986786,-0.07248633,0.01429279,0.997267,-0.07255737,0.01429328
482.9016,40,-,0.008978967,0.0448696,-0.03707121,-0.9982644,-0.09024918,0.01460002,0.9958122,-0.0903818,0.01460054
482.9429,41,-,0.009719888,0.05745868,-0.03891698,-0.9975418,-0.1153914,0.01491975,0.9932081,-0.115662,0.01492031
482.9712,42,-,0.01053706,0.06563583,-0.0409539,-0.9969472,-0.131734,0.0156337,0.9911618,-0.1321342,0.01563433
483.0131,43,-,0.01244172,0.07745551,-0.04314357,-0.9959841,-0.1553625,0.0181001,0.9876917,-0.1560201,0.01810109
483.0415,44,-,0.01314773,0.08416733,-0.04430114,-0.9953795,-0.1687218,0.01871655,0.985486,-0.1695627,0.01871764
483.0686,45,-,0.01325608,0.08995144,-0.04520349,-0.9948315,-0.1801715,0.01824289,0.983466,-0.1811913,0.0182439
483.1105,46,-,0.01355199,0.09795217,-0.0462004,-0.9940258,-0.1959862,0.0178912,0.9804434,-0.1972951,0.01789215
483.1379,47,-,0.01460491,0.1030065,-0.04621538,-0.9934991,-0.2060238,0.01949895,0.9783527,-0.2075498,0.01950018
483.1808,48,-,0.01551265,0.1082788,-0.046097,-0.9929301,-0.2164568,0.0208233,0.9760701,-0.2182318,0.0208248
483.2077,49,-,0.01571653,0.1107672,-0.04620208,-0.9926475,-0.2213579,0.02096659,0.9749672,-0.2232566,0.02096813
483.2355,50,-,0.01590359,0.1120687,-0.04616596,-0.9925001,-0.2239248,0.02122111,0.9743754,-0.2258914,0.0212227
483.277,51,-,0.01612248,0.1114299,-0.04612157,-0.9925706,-0.2226913,0.02172675,0.9746469,-0.2246282,0.02172846
483.3056,52,-,0.01610753,0.1093942,-0.0458511,-0.9928098,-0.2186923,0.02195175,0.9755469,-0.2205281,0.02195351
483.3477,53,-,0.01566296,0.1062922,-0.04447408,-0.9932164,-0.2125354,0.02165893,0.9769133,-0.2142199,0.02166062
483.3751,54,-,0.01522021,0.1038771,-0.04330859,-0.9935302,-0.2077284,0.02124594,0.9779558,-0.2093001,0.02124754
483.4091,55,-,0.0148524,0.1013281,-0.04205396,-0.9938529,-0.2026597,0.0209997,0.9790241,-0.2041189,0.02100125
483.4422,56,-,0.01498443,0.09754625,-0.03995014,-0.994316,-0.1951808,0.02200455,0.9805204,-0.19649,0.02200633
