time,frame,eyeClosed,qua_x,qua_y,qua_z,qua_w,vec_x,vec_y,vec_z,x,y
1040.173,1,-,-0.1594115,0.05064318,-0.01681866,0.9857689,0.1052071,0.3125822,0.9440465,0.1109848,0.3179103
1040.201,2,-,-0.1596273,0.05066356,-0.01681813,0.985733,0.1052508,0.3129956,0.9439047,0.111047,0.3183455
1040.243,3,-,-0.1600008,0.05047568,-0.01646869,0.9856879,0.1047766,0.3137592,0.9437039,0.1105741,0.3191496
1040.271,4,-,-0.1602515,0.05044359,-0.01639607,0.9856501,0.1046944,0.3142496,0.9435498,0.110506,0.3196661
1040.312,5,-,-0.1606362,0.05039566,-0.01637463,0.9855903,0.1045997,0.3149926,0.9433126,0.1104343,0.3204488
1040.341,6,-,-0.1608508,0.05041473,-0.01628564,0.9855558,0.1046122,0.3154127,0.9431708,0.1104639,0.3208916
1040.368,7,-,-0.1609336,0.05051028,-0.01617866,0.9855391,0.1047671,0.3155783,0.9430982,0.1106346,0.321066
1040.409,8,-,-0.1608655,0.05089388,-0.01617441,0.9855306,0.1055188,0.3154294,0.9430642,0.1114258,0.3209092
1040.437,9,-,-0.1606492,0.05117609,-0.01618272,0.9855511,0.1060728,0.3149998,0.9431456,0.1119964,0.3204564
1040.479,10,-,-0.1603449,0.05144855,-0.01607981,0.9855882,0.1065708,0.3144135,0.9432852,0.1125013,0.3198387
1040.507,11,-,-0.1601272,0.05156901,-0.01609099,0.9856171,0.1068078,0.3139887,0.9433998,0.1127358,0.3193913
1040.535,12,-,-0.1599629,0.05165683,-0.01606813,0.9856396,0.1069706,0.3136715,0.9434869,0.1128959,0.3190573
1040.577,13,-,-0.1594326,0.05166265,-0.01611909,0.9857243,0.1069901,0.3126478,0.9438244,0.1128762,0.3179793
1040.604,14,-,-0.1591105,0.05165856,-0.01600078,0.9857786,0.1069396,0.3120423,0.9440305,0.112799,0.3173419
1040.646,15,-,-0.158844,0.05167197,-0.01590274,0.9858224,0.1069309,0.3115405,0.9441972,0.1127701,0.3168137
1040.674,16,-,-0.1586541,0.05169514,-0.01576897,0.9858539,0.1069313,0.3111891,0.944313,0.1127569,0.316444
1040.702,17,-,-0.1585153,0.05179276,-0.01584787,0.9858698,0.1071461,0.3109092,0.9443808,0.1129733,0.3161495
1040.743,18,-,-0.1584029,0.05200044,-0.01595854,0.9858751,0.1075876,0.3106713,0.944409,0.1134316,0.3158992
1040.772,19,-,-0.1584236,0.05213255,-0.01588072,0.9858661,0.1078232,0.3107132,0.9443683,0.1136827,0.3159433
1040.813,20,-,-0.1585685,0.05227475,-0.01590719,0.9858349,0.1081133,0.3109815,0.9442468,0.1140004,0.3162256
1040.841,21,-,-0.1587687,0.05222693,-0.01597304,0.9858041,0.1080431,0.3113613,0.9441297,0.113941,0.3166251
1040.868,22,-,-0.1590603,0.05190076,-0.01591873,0.9857752,0.107389,0.3119431,0.9440122,0.1132712,0.3172375
1040.91,23,-,-0.1597773,0.05122569,-0.01608437,0.9856918,0.1061253,0.3133346,0.9436943,0.1119868,0.3187024
1040.938,24,-,-0.1602436,0.05057672,-0.01615749,0.9856486,0.10488,0.3142533,0.943528,0.1107028,0.31967
1040.967,25,-,-0.1608198,0.04980714,-0.01605667,0.9855955,0.1033438,0.3154072,0.9433125,0.109119,0.3208857
1041.008,26,-,-0.1622684,0.04866952,-0.01644838,0.9854084,0.1012568,0.3182002,0.9426005,0.1070125,0.3238304
