time,frame,eyeClosed,qua_x,qua_y,qua_z,qua_w,vec_x,vec_y,vec_z,x,y,TF_eyeClosed,frame_range,count_1
1174.269,4,0.0,-0.09519962,0.1712519,0.01662776,0.9804761,0.332651,0.192377,0.9232196,0.3458354,0.1935838,0,1-300,2.0
1174.31,5,1.771653e-24,-0.04724825,0.06069562,0.002876295,0.9970333,0.1207593,0.09456531,0.9881673,0.1216024,0.09470682,0,301-600,5.0
1174.339,6,1.771653e-24,-0.04509603,0.06063147,0.002742089,0.9971372,0.1206685,0.09026638,0.9885803,0.1214615,0.09038941,0,601-900,5.0
1174.378,7,8.800157e-25,-0.04513942,0.05701463,0.002580448,0.997349,0.113494,0.09033376,0.9894235,0.1142081,0.09045707,0,901-1200,3.0
1174.407,8,6.202207e-25,-0.04773676,0.05976271,0.002861272,0.9970664,0.1189016,0.09553545,0.9882993,0.1197338,0.09568137,0,1201-1500,2.0
1174.435,9,6.202207e-25,-0.04771994,0.05966663,0.002855646,0.997073,0.1187114,0.0955013,0.9883254,0.119541,0.09564707,0,1501-1800,4.0
1174.477,10,3.080707e-25,-0.04823851,0.06146858,0.002974259,0.9969382,0.1222738,0.09654728,0.9877893,0.1231588,0.0966979,0,1801-2100,3.0
1174.506,11,2.171213e-25,-0.04795225,0.06106237,0.002936956,0.9969772,0.1214739,0.09597328,0.9879439,0.1223422,0.09612122,0,2101-2400,6.0
1174.545,12,1.530208e-25,-0.03894066,0.07791376,0.003045603,0.9961947,0.1549973,0.07805955,0.9848261,0.156105,0.07813904,0,2401-2700,4.0
1174.575,13,1.078476e-25,0.0006580578,0.1195214,-7.921991e-05,0.9928314,0.2373292,-0.001325618,0.9714284,0.2396158,-0.001325618,0,2701-3000,5.0
1174.605,14,1.078476e-25,0.001952235,0.1221226,-0.0002402105,0.9925131,0.2424157,-0.003933908,0.9701645,0.2448569,-0.003933918,0,3001-3300,6.0
1174.644,15,5.356532e-26,0.001242189,0.1222832,-0.0001530475,0.9924945,0.2427304,-0.002503161,0.9700906,0.2451802,-0.002503164,0,3301-3600,5.0
1174.672,16,3.775432e-26,0.001398103,0.1224853,-0.0001725465,0.9924694,0.2431254,-0.002817417,0.9699908,0.2455877,-0.002817421,0,3601-3900,2.0
1174.699,17,3.775432e-26,0.001717309,0.1231363,-0.000213085,0.9923883,0.2443972,-0.003460953,0.969669,0.2468995,-0.00346096,0,3901-4200,5.0
1174.742,18,0.6826409,0.003577827,0.126569,-0.0004565167,0.9919513,0.2510974,-0.007213623,0.967935,0.2538205,-0.007213685,1,4201-4500,4.0
1174.77,19,0.6826409,-0.0004582424,0.1268761,5.861371e-05,0.9919184,0.2517014,0.0009239516,0.9678045,0.254438,0.0009239517,1,4501-4800,5.0
1174.797,20,0.8577017,0.0411068,0.1473613,-0.006129828,0.9882092,0.2907437,-0.08305084,0.9531897,0.2960576,-0.08314662,1,4801-5100,2.0
1174.839,21,0.2678333,0.03589208,0.1106682,-0.003999302,0.9932011,0.2195445,-0.07218128,0.9729286,0.2219361,-0.07224411,0,5101-5400,5.0
1174.866,22,0.2678333,0.03600636,0.1111626,-0.004030201,0.9931416,0.2205102,-0.07241484,0.9726928,0.2229327,-0.07247827,0,5401-5700,4.0
1174.909,23,0.0802278,0.03382916,0.1113727,-0.003793458,0.9931955,0.2209731,-0.06804293,0.9729034,0.2233385,-0.06809554,0,5701-6000,5.0
1174.937,24,0.0802278,0.03506001,0.1100749,-0.003885269,0.9932972,0.2184017,-0.07050537,0.9733086,0.2207347,-0.07056391,0,6001-6300,2.0
1174.964,25,0.04617708,0.03370751,0.1070951,-0.003632904,0.9936706,0.2125897,-0.06776646,0.9747888,0.2147258,-0.06781843,0,6301-6600,2.0
