time,frame,eyeClosed,qua_x,qua_y,qua_z,qua_w,vec_x,vec_y,vec_z,x,y,TF_eyeClosed,frame_range,count_1
1112.48,3,0.0,0.04544256,-0.1931002,0.008953271,0.9800853,-0.3776956,-0.09253292,0.9212946,-0.3890646,-0.09266548,0,1-300,5.0
1112.514,4,0.0,0.00584259,0.05780065,-0.0003382769,0.998311,0.1154021,-0.01170455,0.9932499,0.1156678,-0.01170482,0,301-600,8.0
1112.542,5,0.0,0.006133046,0.06017656,-0.0003697426,0.9981689,0.1201282,-0.01228813,0.9926823,0.1204281,-0.01228844,0,601-900,5.0
1112.57,6,0.0,0.007111962,0.06161714,-0.0004390642,0.9980745,0.1229907,-0.01425064,0.9923055,0.1233155,-0.01425113,0,901-1200,4.0
1112.599,7,0.0,0.009413412,0.05585771,-0.0005266573,0.9983943,0.1115261,-0.01885543,0.9935826,0.1117786,-0.01885655,0,1201-1500,8.0
1112.626,8,0.0,0.009616951,0.0560876,-0.0005402672,0.9983794,0.111983,-0.01926334,0.9935234,0.1122393,-0.01926453,0,1501-1800,6.0
1112.653,9,0.0,0.009523599,0.05604,-0.000534567,0.998383,0.1118886,-0.01907631,0.9935377,0.1121439,-0.01907747,0,1801-2100,6.0
1112.697,10,0.0,0.04686766,0.1059258,-0.004998203,0.9932563,0.2099545,-0.09416208,0.9731663,0.2124869,-0.09430178,0,2101-2400,6.0
1112.724,11,0.0,0.05085799,0.1051942,-0.005386946,0.9931358,0.2083964,-0.1021511,0.9726953,0.2110557,-0.1023296,0,2401-2700,5.0
1112.751,12,0.0,0.05080735,0.1050869,-0.005376012,0.9931498,0.2081877,-0.1020485,0.9727507,0.2108389,-0.1022265,0,2701-3000,5.0
1112.792,13,0.0,0.05248526,0.1095924,-0.005795026,0.9925731,0.2169487,-0.1054611,0.9704696,0.2199341,-0.1056576,0,3001-3300,4.0
1112.821,14,0.0,0.05279693,0.1096939,-0.005834999,0.9925451,0.2171361,-0.1060868,0.9703595,0.2201421,-0.1062868,0,3301-3600,4.0
1112.863,15,0.0,0.04704602,0.1126946,-0.005341893,0.992501,0.2231964,-0.09459046,0.9701732,0.2261238,-0.09473208,0,3601-3900,4.0
1112.892,16,0.0,0.0461353,0.1111687,-0.005166429,0.9927167,0.2202413,-0.09274725,0.9710261,0.2230394,-0.09288073,0,3901-4200,6.0
1112.918,17,0.0,0.04593119,0.1112072,-0.005145327,0.9927219,0.220323,-0.09233818,0.9710466,0.2231148,-0.09246991,0,4201-4500,7.0
1112.96,18,0.0,0.04739567,0.0454904,-0.002160721,0.9978375,0.09057923,-0.09478293,0.9913685,0.09111488,-0.09492543,0,4501-4800,9.0
1112.988,19,2.842171e-14,0.04731295,0.04411494,-0.002091594,0.9979033,0.08784698,-0.09461204,0.9916307,0.08835774,-0.09475376,0,4801-5100,6.0
1113.017,20,0.0,0.04715433,0.04402664,-0.002080385,0.9979148,0.08767348,-0.0942952,0.9916763,0.0881801,-0.09443551,0,5101-5400,4.0
1113.058,21,0.0,0.04806209,0.04384245,-0.002111638,0.9978795,0.08729599,-0.09610551,0.9915357,0.08781477,-0.09625407,0,5401-5700,3.0
1113.085,22,0.0,0.04825593,0.04383569,-0.002119846,0.9978704,0.08728009,-0.09649218,0.9914996,0.08780204,-0.09664255,0,5701-6000,5.0
1113.127,23,0.0,0.0470788,0.04550536,-0.00214695,0.9978518,0.09061307,-0.09415072,0.9914257,0.09114351,-0.09429038,0,6001-6300,7.0
1113.156,24,0.0,0.04531915,0.04404762,-0.002000203,0.997999,0.08773766,-0.09063314,0.992012,0.08821461,-0.09075768,0,6301-6600,3.0
