time,frame,qua_x,qua_y,qua_z,qua_w,vec_x,vec_y,vec_z
653.5117,1,0.1402896,0.07328063,-0.008643925,-0.9873571,-0.1471336,0.275765,0.9498975
653.5394,2,0.140581,0.07315392,-0.008603762,-0.9873254,-0.1468725,0.2763396,0.949771
653.5819,3,0.1407074,0.07291806,-0.008523323,-0.9873256,-0.1463863,0.2766051,0.9497687
653.6096,4,0.1407788,0.07271459,-0.008500921,-0.9873306,-0.1459802,0.2767541,0.9497879
653.6506,5,0.1406869,0.07245421,-0.008703976,-0.9873611,-0.145526,0.2765562,0.9499152
653.6787,6,0.1404693,0.07230643,-0.009023149,-0.9874,-0.1453257,0.2760938,0.9500803
653.707,7,0.1403891,0.07213183,-0.008957247,-0.9874249,-0.1449645,0.2759552,0.9501758
653.7483,8,0.140239,0.07195763,-0.008812283,-0.9874602,-0.1445822,0.2756926,0.9503102
653.7766,9,0.1401709,0.07204739,-0.008724088,-0.987464,-0.1447341,0.2755705,0.9503226
653.8174,10,0.1402669,0.07237499,-0.007902841,-0.9874333,-0.145148,0.2758645,0.9501741
653.8458,11,0.1404236,0.07269114,-0.007787658,-0.9873888,-0.145736,0.2761732,0.9499944
653.8742,12,0.1408629,0.07308999,-0.007615007,-0.9872981,-0.1464686,0.2770341,0.949631
653.9155,13,0.141878,0.0738792,-0.006618234,-0.9871013,-0.1477305,0.279118,0.948825
653.9432,14,0.1425049,0.07452293,-0.006600275,-0.9869626,-0.1489838,0.2803102,0.9482774
653.9705,15,0.1432877,0.07516025,-0.00631894,-0.9868028,-0.1501475,0.2818435,0.9476392
654.0125,16,0.1443439,0.07658011,-0.005467009,-0.9865447,-0.1526777,0.2839661,0.9466007
654.0419,17,0.1450199,0.07772763,-0.005132993,-0.9863576,-0.1548233,0.2852851,0.9458553
654.082,18,0.1458541,0.07968026,-0.004414709,-0.9860823,-0.1584304,0.2869447,0.9447553
654.1108,19,0.1463309,0.08105727,-0.00363775,-0.9859025,-0.1608938,0.2879463,0.944034
654.1387,20,0.1469157,0.08254407,-0.002968207,-0.9856944,-0.1635986,0.289138,0.9432045
654.1795,21,0.1481261,0.08505788,-0.001939519,-0.9853021,-0.16819,0.291568,0.9416476
654.2077,22,0.1492298,0.08708055,-0.001218995,-0.98496,-0.1719055,0.2937583,0.9402949
654.2493,23,0.1513504,0.09066387,2.217572e-05,-0.9843135,-0.1784766,0.2979566,0.9377462
654.2773,24,0.1528709,0.09348516,0.000732176,-0.9838142,-0.1837202,0.30093,0.935782
654.3047,25,0.1543808,0.0965755,0.001538392,-0.9832789,-0.1894463,0.303896,0.9336795
654.347,26,0.1570853,0.1016238,0.003196396,-0.9823373,-0.1986534,0.3092712,0.9299936
654.3751,27,0.1593052,0.1052489,0.004611524,-0.9815922,-0.2051537,0.3137161,0.9270891
654.4164,28,0.1632136,0.1109876,0.006816085,-0.9803044,-0.2153783,0.3215109,0.9220862
654.4445,29,0.165895,0.1146659,0.008397868,-0.9794182,-0.2218254,0.3268871,0.9186611
654.4722,30,0.1688909,0.1182573,0.009619159,-0.9784675,-0.2281728,0.3327836,0.9149821
654.5143,31,0.1735374,0.1233051,0.01141724,-0.9770109,-0.2369782,0.3419115,0.9093612
654.5425,32,0.1762249,0.1263686,0.01279894,-0.9761208,-0.2421911,0.3472685,0.9059515
654.5834,33,0.1790368,0.1306961,0.01480568,-0.9750103,-0.2495585,0.3529955,0.9017287
654.6121,34,0.1801721,0.1333847,0.01631817,-0.9744128,-0.2540633,0.3554771,0.8994931
654.6395,35,0.1811747,0.1358689,0.01759804,-0.9738613,-0.2582583,0.3576601,0.8974307
654.6811,36,0.1830468,0.1392293,0.01907585,-0.9730083,-0.263959,0.361524,0.8942181
654.7097,37,0.1845232,0.1409902,0.01992204,-0.9724587,-0.2668621,0.3645001,0.8921459
654.7505,38,0.1871448,0.1432861,0.02113911,-0.9715961,-0.2705202,0.3697162,0.8888919
654.7791,39,0.1885977,0.1444034,0.02201108,-0.9711303,-0.2721666,0.3726629,0.8871571
654.8065,40,0.1898901,0.1452097,0.0227234,-0.9707418,-0.2732924,0.3752678,0.8857118
654.8484,41,0.191251,0.1459848,0.02361085,-0.9703371,-0.2742777,0.3780494,0.884223
654.8765,42,0.1917929,0.146134,0.02403138,-0.9701973,-0.2743395,0.3791776,0.8837206
654.9175,43,0.1928464,0.1457325,0.02451007,-0.9700369,-0.2732784,0.3812802,0.8831446
654.9464,44,0.1937072,0.1451295,0.02471716,-0.9699506,-0.2719611,0.3829472,0.8828299
654.9741,45,0.1947451,0.1445338,0.02506291,-0.9698228,-0.2705827,0.3849814,0.8823686
655.0157,46,0.1969737,0.1442939,0.02600864,-0.9693835,-0.2695063,0.3893918,0.8807613
655.0436,47,0.1983128,0.1444787,0.02682783,-0.9690605,-0.2693766,0.3921062,0.8795959
655.0844,48,0.1996386,0.1449449,0.02767022,-0.9686949,-0.2697667,0.3947992,0.8782708
655.113,49,0.1998352,0.1452874,0.02816193,-0.9685888,-0.270192,0.3952995,0.8779149
