time,frame,qua_x,qua_y,qua_z,qua_w,vec_x,vec_y,vec_z
653.5819,2,0.02868029,-0.1631798,0.004745687,0.986168,-0.3215733,-0.05811596,0.9450995
653.6096,3,-0.05270663,-0.01338871,-0.0007067199,0.9985201,-0.0266633,0.1052762,0.9940855
653.6365,4,-0.05401549,-0.01224061,-0.0006621993,0.9984649,-0.02437211,0.1078813,0.993865
653.6656,5,-0.05405556,-0.01224225,-0.0006627804,0.9984627,-0.0243752,0.1079611,0.9938563
653.6932,6,-0.05399305,-0.01272603,-0.0006881771,0.99846,-0.02533855,0.1078373,0.9938456
653.7208,7,-0.05392605,-0.01184703,-0.0006398397,0.9984745,-0.02358891,0.1077027,0.9939033
653.7629,8,-0.05332512,-0.01146351,-0.0006122047,0.9985113,-0.0228276,0.1065055,0.99405
653.7901,9,-0.05537574,-0.0112875,-0.0006260546,0.9984016,-0.02246959,0.1105886,0.9936122
653.8327,10,-0.07495382,-0.06362706,-0.004792366,0.9951435,-0.1259177,0.1497895,0.9806671
653.8605,11,-0.09088273,-0.1205366,-0.01108239,0.9884779,-0.2362812,0.1823428,0.9544225
653.8871,12,-0.09161611,-0.1233311,-0.01143564,0.9880613,-0.241622,0.1838654,0.9527919
653.9298,13,-0.09208569,-0.1236342,-0.01152347,0.9879788,-0.2421736,0.1848068,0.9524696
653.958,14,-0.09166757,-0.1216617,-0.01128485,0.9882653,-0.2383991,0.1839296,0.953591
653.9859,15,-0.09111709,-0.1212879,-0.01118152,0.9883633,-0.2377154,0.1828259,0.9539738
654.0274,16,-0.091808,-0.1213063,-0.01126878,0.9882961,-0.237704,0.1842009,0.9537121
654.0553,17,-0.09272034,-0.1223097,-0.01147735,0.9880848,-0.2395763,0.1860387,0.9528866
654.0969,18,-0.1028768,-0.1388927,-0.01450876,0.9848425,-0.2705896,0.2066652,0.9402503
654.1241,19,-0.1072289,-0.1405017,-0.01530868,0.9841377,-0.2732629,0.2153579,0.9375225
654.1528,20,-0.1092224,-0.1411897,-0.01567479,0.9838142,-0.2743848,0.2193354,0.9362718
654.1934,21,-0.109852,-0.1417539,-0.01583061,0.9836604,-0.2753973,0.2206022,0.9356768
654.2216,22,-0.1104725,-0.1416307,-0.01590706,0.9836074,-0.2751035,0.2218289,0.9354731
654.2636,23,-0.1106763,-0.1417281,-0.01594796,0.9835699,-0.2752688,0.2222363,0.9353278
654.2917,24,-0.1131233,-0.1461199,-0.0168217,0.9826338,-0.2833589,0.2272336,0.9317042
654.3196,25,-0.1262237,-0.1541814,-0.01986368,0.9797454,-0.2971025,0.2534595,0.9205914
654.3618,26,-0.1277307,-0.1575233,-0.02055207,0.979004,-0.3031816,0.2565726,0.9177426
654.3886,27,-0.1247009,-0.1607704,-0.02048102,0.9788682,-0.3096381,0.250717,0.9172051
654.4302,28,-0.1252557,-0.1609804,-0.02060129,0.9787604,-0.3099616,0.2518235,0.9167926
654.4582,29,-0.1270285,-0.1614286,-0.02095765,0.9784505,-0.3105753,0.2553484,0.9156092
654.4863,30,-0.1312181,-0.1604829,-0.02153106,0.9780406,-0.308267,0.2635839,0.9140542
654.5281,31,-0.133791,-0.1643709,-0.0225085,0.9770238,-0.3151657,0.2688335,0.9101644
654.5559,32,-0.1318163,-0.168446,-0.02273611,0.9765928,-0.3230123,0.2651213,0.9085009
654.5983,33,-0.1076835,-0.2052668,-0.02272892,0.9724985,-0.3943482,0.218775,0.8925396
654.6257,34,-0.1078254,-0.2053603,-0.0227701,0.9724621,-0.3944998,0.2190645,0.8924016
654.6535,35,-0.1073359,-0.2086683,-0.02304742,0.9718052,-0.4006222,0.2182378,0.8898731
654.6951,36,-0.10731,-0.2095219,-0.02314048,0.9716222,-0.4021859,0.2182265,0.8891702
654.723,37,-0.1076675,-0.2103667,-0.02331661,0.9713959,-0.4036779,0.2189856,0.8883071
654.7651,38,-0.1057813,-0.2072525,-0.02254823,0.9722903,-0.3982488,0.2150466,0.8917135
654.7926,39,-0.1075981,-0.2093999,-0.02318924,0.9716155,-0.4019222,0.2187996,0.8891487
654.8208,40,-0.1103608,-0.2056467,-0.02334663,0.9721034,-0.3946666,0.2241665,0.8910599
654.8621,41,-0.120299,-0.1572623,-0.01930436,0.9800123,-0.3035935,0.2418608,0.9215934
654.8898,42,-0.121657,-0.1579581,-0.01961435,0.9797266,-0.304739,0.2445776,0.9204977
654.9321,43,-0.1189696,-0.1588601,-0.01928686,0.9799172,-0.3067503,0.2392886,0.9212194
654.9599,44,-0.119742,-0.1586134,-0.01938304,0.9798612,-0.3061964,0.2408098,0.9210073
654.9879,45,-0.1201286,-0.1572942,-0.0192806,0.9800285,-0.3036733,0.2415244,0.9216553
655.0295,46,-0.1209648,-0.1562019,-0.01927856,0.9801005,-0.301523,0.2431379,0.921937
655.0572,47,-0.1213206,-0.1557212,-0.01927512,0.980133,-0.300578,0.2438237,0.9220645
655.0991,48,-0.1228764,-0.1571227,-0.01970658,0.9797069,-0.3030254,0.2469585,0.9204277
655.1263,49,-0.124985,-0.1574933,-0.02009889,0.9793726,-0.3034651,0.2511447,0.9191492
655.155,50,-0.1247656,-0.1575571,-0.02007136,0.9793909,-0.3036116,0.2507134,0.9192186
655.197,51,-0.1227735,-0.1577093,-0.01976525,0.9796243,-0.3041383,0.2467782,0.9201089
655.224,52,-0.1209687,-0.1545662,-0.01907218,0.9803633,-0.2984478,0.2430823,0.9229518
655.2657,53,-0.1150079,-0.1545752,-0.01811988,0.981097,-0.2991386,0.2312695,0.9257594
655.2945,54,-0.1144945,-0.1581532,-0.01846629,0.9805803,-0.3059352,0.2303832,0.9237571
655.322,55,-0.1294978,-0.1580087,-0.02090739,0.9786861,-0.303867,0.2600825,0.9165272
655.3638,56,-0.1294708,-0.1547904,-0.02046625,0.9792132,-0.297846,0.2598949,0.9185545
655.3913,57,-0.123529,-0.151989,-0.0191495,0.9804454,-0.2933029,0.2480479,0.9232799
655.433,58,-0.1223029,-0.1546953,-0.0193024,0.9801729,-0.2985348,0.245728,0.9222227
655.4611,59,-0.1222641,-0.1546531,-0.01929078,0.9801846,-0.29846,0.2456495,0.9222678
655.489,60,-0.1204404,-0.1545631,-0.01898721,0.9804305,-0.2985031,0.2420363,0.9232087
655.5309,61,-0.1200811,-0.1534851,-0.01879438,0.9806476,-0.2965159,0.2412838,0.9240457
655.5581,62,-0.1197896,-0.1532502,-0.01871866,0.9807214,-0.296107,0.2406978,0.9243296
655.6002,63,-0.1231807,-0.1523733,-0.0191441,0.9804297,-0.2940662,0.2473741,0.9232178
655.628,64,-0.1231831,-0.1523685,-0.01914386,0.9804302,-0.2940569,0.2473787,0.9232196
655.6561,65,-0.1180505,-0.1488974,-0.01790658,0.9816176,-0.2880929,0.2370934,0.9277873
655.6979,66,-0.1183245,-0.1501087,-0.01809823,0.9813966,-0.2903494,0.2376799,0.9269334
655.7255,67,-0.1183727,-0.1500866,-0.01810299,0.981394,-0.2903024,0.2377746,0.9269238
655.7672,68,-0.1194844,-0.1503326,-0.01830623,0.9812179,-0.2906435,0.2399845,0.9262472
655.7949,69,-0.1194045,-0.1503291,-0.01829337,0.9812284,-0.2906457,0.2398263,0.9262874
655.8229,70,-0.1139583,-0.1253397,-0.01449453,0.9854407,-0.2437262,0.2282318,0.9426069
655.8649,71,-0.1122849,-0.1041807,-0.01183846,0.9881287,-0.2032293,0.2243706,0.953077
655.8927,72,-0.109912,-0.1039171,-0.01155548,0.9884266,-0.2028888,0.2196816,0.9542412
655.9204,73,-0.1089929,-0.1046601,-0.01154049,0.9884502,-0.2043869,0.2178837,0.9543337
655.9635,74,-0.1080088,-0.1058173,-0.01156292,0.9884347,-0.2066892,0.2159663,0.9542736
656.0034,75,-0.110739,-0.1052099,-0.01179001,0.9881947,-0.2053244,0.2213441,0.9533355
656.0325,76,-0.1107642,-0.1054621,-0.01182134,0.9881646,-0.2058091,0.2213999,0.953218
656.0596,77,-0.1104416,-0.1056267,-0.01180509,0.9881833,-0.2061496,0.2207671,0.9532913
656.0876,78,-0.1088602,-0.1065332,-0.01173496,0.9882624,-0.2080105,0.2176652,0.9536003
656.1294,79,-0.09996346,-0.1057445,-0.01068493,0.9892984,-0.2070895,0.2000471,0.9576508
656.1573,80,-0.09918592,-0.1032087,-0.01034393,0.989648,-0.2022286,0.1984535,0.9590203
656.1996,81,-0.1032208,-0.07723018,-0.008039106,0.9916231,-0.1515069,0.2059541,0.9667619
656.2265,82,-0.1022755,-0.0753488,-0.007769518,0.9918679,-0.1478828,0.2040584,0.9677246
656.2542,83,-0.1013675,-0.07429057,-0.007591055,0.9920423,-0.1458598,0.2022495,0.9684111
656.2966,84,-0.1004419,-0.07602915,-0.007698064,0.9920039,-0.149296,0.200448,0.968262
656.3246,85,-0.09969446,-0.07609911,-0.007647269,0.9920743,-0.1494672,0.1989725,0.9685399
656.3687,86,-0.09677335,-0.07820566,-0.007627721,0.9921999,-0.153715,0.1932301,0.9690376
656.4322,87,-0.1159119,-0.1487257,-0.01755677,0.9819047,-0.2879989,0.2328511,0.9288902
656.4507,88,-0.1158716,-0.1486598,-0.01754262,0.9819198,-0.2878786,0.2327689,0.9289481
656.476,89,-0.1179469,-0.1483667,-0.01782538,0.9817119,-0.2871018,0.2368691,0.9281517
