pre_gaze_horizontal,pre_gaze_vertical,measured_head_horizontal,measured_head_vertical
1.818356124310345212e+00,6.759603296982756859e+00,2.130169673141629971e+00,1.704013455667866594e+01
1.869008765367985658e+00,7.258311965772296759e+00,2.116413873683283153e+00,1.704930403819840379e+01
1.862800971640053982e+00,7.283806822482034704e+00,2.110206079955351477e+00,1.707479889490814173e+01
2.031495774756994166e+00,7.980713389011423686e+00,2.081363351299954978e+00,1.711563897715148741e+01
2.008350745631122258e+00,7.674422301668787583e+00,2.058218322174083070e+00,1.713733093067351732e+01
1.915106318610128033e+00,7.169520990836417695e+00,2.029382335669076109e+00,1.713393004778679796e+01
1.679109500690926238e+00,7.162093500126403001e+00,1.972032808042386565e+00,1.712650255707678326e+01
1.086856639839060001e+00,6.509505455023431253e+00,1.910128314097878643e+00,1.708206853148014659e+01
1.619478573205645366e+00,6.356441073281002829e+00,1.762078074897910351e+00,1.701472713930349911e+01
1.804794845991733565e+00,6.324956734360545951e+00,1.645757676379624668e+00,1.698324280038304224e+01
6.192992818329020599e-01,6.139473983876571950e+00,1.521900891901857733e+00,1.695377042676165402e+01
-2.321009398161606896e+00,6.108573263619232918e+00,1.353491386619097403e+00,1.692286970650431499e+01
-2.164155877387613280e+00,6.102597360514186775e+00,1.273534345647811650e+00,1.691689380339926885e+01
-1.890272644710849992e+00,5.930894463639047487e+00,1.232627093258723772e+00,1.691316252406256382e+01
-2.230640866535297917e+00,5.905839855189638499e+00,1.230377276419088117e+00,1.688810791561315483e+01
-1.226455976529685854e+00,6.038457332735200467e+00,1.280114381664587464e+00,1.685275377562028254e+01
2.900212413330089944e-01,6.176445861994388054e+00,1.367926412860431151e+00,1.678496016255496315e+01
3.051780835363558708e+00,6.155345878532138215e+00,1.425693036078719222e+00,1.676386017909271331e+01
2.693387767831249668e+00,6.472217504598731352e+00,1.461981481412543804e+00,1.675274876429464044e+01
1.333264481300343363e+00,6.829873647062992603e+00,1.466114941032500951e+00,1.677687609635168542e+01
1.062992944246633442e+01,8.886676836038107652e+00,1.418905841964194003e+00,1.681984770525077977e+01
-3.720420857731643327e-01,1.103692065839716108e+01,1.171952267032077888e+00,1.701390515648425605e+01
-3.825692509400338004e+00,1.142552307909659959e+01,6.981582026455129819e-01,1.730117789141720053e+01
-9.797866677953360082e+00,1.331458207566959473e+01,7.334329984061968566e-02,1.766264029834759697e+01
-1.049635071820989651e+01,1.641002682952645486e+01,-1.350720217539484347e+00,1.844484349547581914e+01
