pre_gaze_horizontal,pre_gaze_vertical,measured_head_horizontal,measured_head_vertical
-9.792352247635585982e+00,1.186069039589795615e+01,-1.036044617884923191e+01,1.708309507762958290e+01
-8.223358257285919848e+00,1.229394962138034231e+01,-1.077594155669673270e+01,1.733491333114664457e+01
2.370646719134125391e+00,1.206659465480171534e+01,-1.110749168561160261e+01,1.751347028219371182e+01
-9.583178252324128010e+00,1.400928352263420784e+01,-1.146977095826074411e+01,1.769175614884709802e+01
-1.047674438357888604e+01,1.544912865351526321e+01,-1.205758684945471515e+01,1.801531563420110871e+01
-1.112372675378072984e+01,1.580929760505517656e+01,-1.247778998268880279e+01,1.828332301908083224e+01
-1.063638243778091130e+01,1.653673300644786082e+01,-1.314727192249707421e+01,1.875432204226201804e+01
-5.999980368394412622e+00,1.667177597511781784e+01,-1.357512653459176022e+01,1.907994462050180928e+01
-1.118584462029105531e+01,1.739806974708889342e+01,-1.400248434506800344e+01,1.943781609440028291e+01
-1.008368448903334524e+01,1.824823031080633484e+01,-1.460633379621237005e+01,1.999337653782080437e+01
-1.083529789370180296e+01,1.835529837991160207e+01,-1.496707640518971871e+01,2.032033445658008119e+01
-1.103219868275839310e+01,1.694599291513468131e+01,-1.546972743430709585e+01,2.067064402405791412e+01
-1.110811182186160728e+01,1.562934347949819625e+01,-1.577241981037806795e+01,2.082268793480289659e+01
-1.139019829483551227e+01,1.695403539717329977e+01,-1.605450628335197294e+01,2.095656457310111520e+01
-1.575558784335411389e+01,1.828868076646919860e+01,-1.644576448894740395e+01,2.119381998500922748e+01
-1.663688845527986970e+01,1.704007416819014153e+01,-1.665317740243776967e+01,2.137682113273702811e+01
-1.691050927130569193e+01,1.883744604528190081e+01,-1.692679821846359189e+01,2.169811502091751265e+01
-1.666778137083520761e+01,1.791521691909074576e+01,-1.705523439445254752e+01,2.187993907452537101e+01
-1.676051295150414688e+01,1.807323636087438246e+01,-1.714796597512148679e+01,2.204086489247568537e+01
-1.650283397321137713e+01,1.787397925614315142e+01,-1.723340096652788489e+01,2.221291117673813531e+01
-1.743775911173234761e+01,1.710840139529639714e+01,-1.724627215459330642e+01,2.228275164076005410e+01
-1.738553554512549937e+01,1.723865281060491483e+01,-1.719404858798645819e+01,2.241300305606857179e+01
-1.440693937392964408e+01,1.696154226316000191e+01,-1.712176595007901270e+01,2.251635855530710728e+01
-1.341153689888321665e+01,1.831459557008448513e+01,-1.704841742548813599e+01,2.264258529248749952e+01
-1.337683415585708957e+01,1.860555265255953117e+01,-1.701371468246200891e+01,2.291665966057474080e+01
-1.481901317375115745e+01,1.803544868475785634e+01,-1.702722851368922363e+01,2.308561729179445976e+01
-1.447560104221317090e+01,1.843232013277030035e+01,-1.707468717784234613e+01,2.325345029905584582e+01
