pre_gaze_horizontal,pre_gaze_vertical,measured_head_horizontal,measured_head_vertical
3.164872093695350941e+00,-6.103441867265307685e+00,-1.485201050282245694e+00,4.596367513842523955e+00
3.380655692771656007e+00,-5.561814537532047353e+00,-1.333825891721928558e+00,4.611978343471516695e+00
2.885610430980309005e+00,-5.326335590955774357e+00,-1.212455507671661659e+00,4.685766915246113662e+00
2.622855984716236932e+00,-4.964494312366829476e+00,-1.099430711438222463e+00,4.654884131356050503e+00
2.807685480598762773e+00,-4.606837386708359183e+00,-1.119794368865546508e+00,4.708549971422423930e+00
1.065089265524107098e+00,-4.692048983292783859e+00,-1.143081105094842176e+00,4.744765024634595818e+00
1.437795271407319664e+00,-5.337339931670448401e+00,-1.214565303156275977e+00,4.713173865305816612e+00
1.881264592515619949e+00,-5.285050068495747766e+00,-1.247526297304181853e+00,4.748579661192851020e+00
1.157536325770812446e+00,-7.565642247589756231e+00,-1.196748656852714809e+00,4.740202618884738150e+00
2.889693092228268867e+00,-7.728501420506609598e+00,-9.742586912766746376e-01,4.624852086129465967e+00
6.032079695048505386e+00,-6.730152447124874371e+00,-5.809242966529937213e-01,4.485803421701971772e+00
4.610442417426983575e+00,-1.011436832036292799e+01,9.595464991748832093e-03,4.259353772559244078e+00
8.815887410406270774e+00,-1.016236755889902810e+01,1.208368227435243858e+00,3.994196363829860541e+00
1.296636095476171846e+01,-1.200167165702005612e+01,2.575169841103378765e+00,3.590900183024420045e+00
1.366137752651860282e+01,-1.301942513039784366e+01,3.727526211742534290e+00,3.269605105487931151e+00
1.577584747208351246e+01,-1.441471855779859723e+01,4.900030320783614002e+00,2.747658574089335115e+00
1.720432640968441618e+01,-1.671262623968011596e+01,6.328509258384518610e+00,2.043068761640487008e+00
1.912308362082924873e+01,-1.803874257564552153e+01,7.667940951553665840e+00,1.447400072596114695e+00
2.106797870572390607e+01,-1.808119987209013146e+01,9.022155692494377988e+00,6.993559021947013399e-01
2.256432762774291945e+01,-1.838533524487982262e+01,1.051850461451338958e+01,-5.159499402291560510e-02
2.425402247670088940e+01,-1.870094413900780594e+01,1.181420897947622173e+01,-6.673854749930405728e-01
2.938700454203038248e+01,-1.669064820399529125e+01,1.335149485553376358e+01,-1.343503516488149252e+00
