pre_gaze_horizontal,pre_gaze_vertical,measured_head_horizontal,measured_head_vertical
-3.118135488312848702e-01,-1.028053125969590909e+01,2.130169673141629971e+00,1.704013455667866594e+01
-2.474051083152975228e-01,-9.790992072426107029e+00,2.116413873683283153e+00,1.704930403819840379e+01
-2.474051083152975228e-01,-9.790992072426107029e+00,2.110206079955351477e+00,1.707479889490814173e+01
-4.986757654296079811e-02,-9.134925588140063724e+00,2.081363351299954978e+00,1.711563897715148741e+01
-4.986757654296079811e-02,-9.462908629004729733e+00,2.058218322174083070e+00,1.713733093067351732e+01
-1.142760170589481039e-01,-9.964409056950380261e+00,2.029382335669076109e+00,1.713393004778679796e+01
-2.929233073514603825e-01,-9.964409056950380261e+00,1.972032808042386565e+00,1.712650255707678326e+01
-8.232716742588185310e-01,-1.057256307645671534e+01,1.910128314097878643e+00,1.708206853148014659e+01
-1.425995016922649572e-01,-1.065828606602249629e+01,1.762078074897910351e+00,1.701472713930349911e+01
1.590371696121088974e-01,-1.065828606602249629e+01,1.645757676379624668e+00,1.698324280038304224e+01
-9.026016100689556731e-01,-1.081429644288508207e+01,1.521900891901857733e+00,1.695377042676165402e+01
-3.674500784780704521e+00,-1.081429644288508207e+01,1.353491386619097403e+00,1.692286970650431499e+01
-3.437690223035424708e+00,-1.081429644288508207e+01,1.273534345647811650e+00,1.691689380339926885e+01
-3.122899737969573764e+00,-1.098226806042351633e+01,1.232627093258723772e+00,1.691316252406256382e+01
-3.461018142954386256e+00,-1.098226806042351633e+01,1.230377276419088117e+00,1.688810791561315483e+01
-2.506570358194273318e+00,-1.081429644288508207e+01,1.280114381664587464e+00,1.685275377562028254e+01
-1.077905171527422157e+00,-1.060851430056057509e+01,1.367926412860431151e+00,1.678496016255496315e+01
1.626087799284839486e+00,-1.060851430056057509e+01,1.425693036078719222e+00,1.676386017909271331e+01
1.231406286418705864e+00,-1.028053125969590909e+01,1.461981481412543804e+00,1.675274876429464044e+01
